Location,Diversity-Index,"Black or African American alone, percent, 2013","American Indian and Alaska Native alone, percent, 2013","Asian alone, percent, 2013","Native Hawaiian and Other Pacific Islander alone, percent,","Two or More Races, percent, 2013","Hispanic or Latino, percent, 2013","White alone, not Hispanic or Latino, percent, 2013"
"Madison County, FL",0.548148,39.0,0.7,0.3,0.0,1.3,5.0,54.5
"Osage County, OK",0.547996,11.5,14.7,0.4,0.0,7.2,3.3,64.1
"Taos County, NM",0.547937,0.8,7.4,0.9,0.1,2.6,56.1,36.2
"Richmond County, NY",0.547813,11.8,0.6,8.0,0.1,1.9,17.9,63.2
"Bent County, CO",0.547807,6.8,3.4,1.1,0.1,1.7,31.1,59.1
"Angelina County, TX",0.547671,15.6,0.8,1.1,0.0,1.2,20.8,62.0
"St. John the Baptist Parish, LA",0.547468,54.9,0.4,0.8,0.1,1.1,5.2,38.5
"Crisp County, GA",0.547463,43.6,0.3,1.0,0.1,1.1,3.3,51.1
"Hockley County, TX",0.54735,4.1,1.4,0.4,0.0,1.2,46.2,48.7
"Santa Fe County, NM",0.547292,1.1,4.0,1.4,0.2,2.1,51.1,43.5
"McCurtain County, OK",0.547169,8.7,15.7,0.5,0.7,6.7,5.1,64.3
"Alachua County, FL",0.547155,20.4,0.3,5.7,0.1,2.5,8.9,63.2
"Granville County, NC",0.547051,32.0,0.7,0.7,0.1,1.6,7.5,58.7
"Williamson County, TX",0.546895,6.7,0.9,5.6,0.1,2.5,23.8,62.3
"Bibb County, GA",0.546816,53.4,0.3,1.9,0.1,1.3,3.2,40.8
"Virginia Beach city, VA",0.546513,20.0,0.5,6.6,0.2,3.9,7.5,63.4
"Lincoln Parish, LA",0.546476,41.4,0.4,1.9,0.1,1.1,2.7,53.0
"Essex County, VA",0.546371,38.5,0.9,1.0,0.2,2.3,3.3,55.1
"Tallahatchie County, MS",0.54594,56.5,0.3,0.9,0.1,1.0,6.0,36.2
"Tom Green County, TX",0.545529,4.7,1.1,1.3,0.1,1.9,37.3,55.9
"Wilkes County, GA",0.54545,42.6,0.2,0.8,0.0,1.4,3.7,52.1
"Toombs County, GA",0.545306,25.9,0.7,0.9,0.1,1.3,11.3,61.2
"Montgomery County, AL",0.544959,56.3,0.3,2.4,0.1,1.3,3.4,36.9
VIRGINIA,0.544823,19.7,0.5,6.1,0.1,2.7,8.6,63.6
"Polk County, FL",0.544458,15.6,0.6,1.8,0.1,1.9,19.0,62.8
"Scurry County, TX",0.543962,5.2,1.2,0.8,0.1,1.4,38.5,55.2
"Santa Cruz County, CA",0.543935,1.4,1.8,4.8,0.2,4.0,32.9,58.6
"Haywood County, TN",0.543823,50.1,0.3,0.2,0.0,0.9,4.1,45.1
"Lea County, NM",0.543478,4.3,1.9,0.6,0.1,1.5,54.3,39.9
"Chicot County, AR",0.543411,54.7,0.4,0.5,0.0,0.9,5.3,39.3
"Alamosa County, CO",0.543385,1.8,5.5,1.5,0.3,3.0,45.4,49.6
"Terry County, TX",0.543243,5.0,1.1,0.6,0.0,1.2,53.0,41.6
"Edgefield County, SC",0.543149,36.8,0.3,0.4,0.1,1.3,5.6,56.4
"Wilbarger County, TX",0.542915,8.7,1.5,1.0,0.1,1.9,27.7,61.0
"Burke County, GA",0.542753,48.5,0.3,0.4,0.1,1.4,3.0,47.0
"La Paz County, AZ",0.542742,1.0,17.5,0.9,0.1,2.9,24.9,60.3
"Harnett County, NC",0.542616,21.6,1.7,1.2,0.2,3.1,11.7,62.9
"Lamb County, TX",0.542523,5.1,1.9,0.3,0.1,1.5,53.8,40.6
"Natchitoches Parish, LA",0.542471,41.4,1.0,0.6,0.0,2.0,2.1,53.4
"Marion County, GA",0.542337,32.0,0.9,0.9,0.5,1.6,6.6,59.2
"Seward County, KS",0.542263,4.1,1.5,2.9,0.2,1.9,58.4,33.7
"Rockland County, NY",0.542071,12.9,0.5,6.6,0.1,1.9,16.8,63.9
"Sevier County, AR",0.541947,4.5,3.3,0.5,0.3,2.3,32.6,59.0
"Torrance County, NM",0.54178,2.1,3.8,0.5,0.3,2.6,40.5,54.0
"Ketchikan Gateway Borough, AK",0.541652,0.9,14.0,7.4,0.3,9.1,4.9,65.0
"Chickasaw County, MS",0.540811,43.5,0.3,0.3,0.1,1.0,3.9,51.8
"Marshall County, MS",0.540785,47.4,0.3,0.2,0.0,0.9,3.4,48.3
"Martin County, NC",0.540574,43.2,0.4,0.4,0.2,1.0,3.5,52.1
"Roosevelt County, NM",0.540543,2.4,2.1,1.3,0.2,2.1,40.1,54.5
"Hays County, TX",0.540343,4.0,1.2,1.4,0.2,2.0,36.7,56.8
"Madison County, MS",0.540075,38.5,0.4,2.3,0.1,0.8,2.9,55.7
"Ector County, TX",0.540002,4.8,1.4,1.0,0.2,1.3,56.4,37.3
"Accomack County, VA",0.539878,28.0,0.6,0.6,0.2,1.5,9.0,61.1
"Florence County, SC",0.539644,42.0,0.4,1.4,0.0,1.2,2.4,53.2
"Quay County, NM",0.539621,1.7,2.2,1.2,0.1,2.2,43.9,51.6
"Houston County, TX",0.539116,26.1,0.6,0.6,0.0,1.1,10.9,61.7
"Baldwin County, GA",0.539025,41.7,0.3,1.7,0.1,1.1,2.1,53.5
"Ramsey County, MN",0.538819,11.6,0.9,13.2,0.1,3.3,7.3,65.1
"Hampton County, SC",0.538618,53.7,0.4,0.6,0.0,1.1,3.8,41.4
"Webster County, GA",0.538615,41.9,0.3,0.3,0.0,1.4,3.9,53.3
"Barnwell County, SC",0.538596,44.2,0.5,0.6,0.0,1.5,2.3,51.5
"Orleans Parish, LA",0.538532,60.1,0.4,3.0,0.1,1.5,5.5,31.0
"Crosby County, TX",0.538474,4.4,1.2,0.1,0.1,1.6,53.8,41.2
"Nottoway County, VA",0.53813,39.4,0.6,0.4,0.1,1.4,4.1,55.2
"Las Animas County, CO",0.538094,1.7,3.5,1.1,0.1,2.1,42.3,53.0
"Turner County, GA",0.537973,39.7,0.5,0.8,0.1,0.8,4.2,55.0
"Medina County, TX",0.53763,2.9,0.9,0.9,0.1,1.1,50.6,45.3
"Cuyahoga County, OH",0.537606,30.2,0.3,2.9,0.0,2.0,5.2,60.6
"Hyde County, NC",0.537389,30.0,0.7,0.4,0.0,1.1,8.0,60.5
"Columbus County, NC",0.537243,30.5,3.5,0.4,0.1,1.6,4.7,60.5
"Clarendon County, SC",0.537069,48.9,0.3,0.6,0.0,0.9,3.0,47.2
LOUISIANA,0.53702,32.4,0.8,1.7,0.1,1.5,4.7,59.6
"Eddy County, NM",0.536931,1.9,2.3,0.8,0.1,1.6,45.7,50.3
"Pueblo County, CO",0.536856,2.5,3.0,1.0,0.2,2.5,42.3,53.1
"Roanoke city, VA",0.536736,28.8,0.4,2.1,0.1,2.7,5.8,61.3
"Lake County, IL",0.536693,7.4,0.9,7.0,0.1,2.0,20.7,64.0
"Calhoun County, SC",0.536629,42.2,0.6,0.4,0.1,1.1,3.2,53.3
"Brooks County, GA",0.536623,35.0,0.4,0.4,0.2,1.2,5.6,58.1
"Yazoo County, MS",0.53656,57.2,0.3,0.5,0.0,0.9,5.4,36.5
"Live Oak County, TX",0.536361,4.8,1.2,0.7,0.0,0.9,36.9,57.0
"Pike County, AL",0.536147,36.8,0.7,2.1,0.1,1.5,2.3,57.2
"Jackson County, MO",0.53569,24.0,0.6,1.8,0.3,2.8,8.6,63.1
"Mobile County, AL",0.535304,35.3,1.0,1.9,0.1,1.5,2.6,58.2
"Dallam County, TX",0.535203,1.9,1.9,0.8,0.1,1.9,42.5,53.2
"Crittenden County, AR",0.535179,51.5,0.4,0.6,0.0,1.2,2.2,44.6
"Hartford County, CT",0.534966,15.0,0.5,4.8,0.1,2.2,16.6,64.2
"Dallas County, AR",0.534764,42.2,0.5,0.2,0.0,1.3,2.7,53.5
"Warren County, MS",0.534763,47.9,0.3,0.9,0.0,0.9,2.0,48.5
"Union County, NM",0.534597,2.0,2.9,0.6,0.0,1.9,40.7,54.6
"Shelby County, TX",0.534549,17.6,0.9,0.7,0.0,1.2,17.6,63.5
"Newberry County, SC",0.534485,31.2,0.8,0.7,0.3,1.3,7.4,60.2
"Madison County, TN",0.534441,37.3,0.3,1.0,0.0,1.4,3.5,57.0
"Surry County, VA",0.534312,44.7,0.5,0.4,0.0,1.8,1.7,51.5
"Troup County, GA",0.534138,34.9,0.4,1.8,0.2,1.4,3.6,58.5
"Cochran County, TX",0.534065,4.8,2.5,0.3,0.2,1.0,56.3,38.2
"Seminole County, FL",0.533994,12.0,0.4,4.1,0.1,2.4,18.6,64.4
"Juneau City and Borough, AK",0.533985,1.5,11.7,6.1,1.0,9.4,6.2,66.0
"Montgomery County, NC",0.533881,19.0,0.9,1.5,0.0,1.3,15.0,63.8
"Lynn County, TX",0.53385,2.5,1.8,0.3,0.0,1.6,47.0,49.4
"Upton County, TX",0.533817,2.6,3.1,0.3,0.0,1.6,51.6,44.5
"Wheeler County, GA",0.533755,38.3,0.1,0.2,0.1,0.9,5.0,56.3
"Hale County, TX",0.533668,5.9,1.6,0.5,0.1,1.2,58.0,35.5
"Lee County, AR",0.533449,54.4,0.5,0.5,0.0,1.4,2.5,41.2
"Iberia Parish, LA",0.533312,32.3,0.5,2.9,0.1,1.4,3.6,60.0
"Jackson County, TX",0.533163,7.5,0.8,0.6,0.0,1.4,31.0,60.4
"Jefferson County, GA",0.533134,54.1,0.2,0.6,0.1,0.8,3.2,41.6
"Grant County, NM",0.533092,1.2,2.1,0.6,0.1,2.3,49.1,47.4
"Thurston County, NE",0.533076,0.5,55.9,0.5,0.0,2.3,4.2,39.0
"Oktibbeha County, MS",0.53302,36.9,0.2,3.1,0.1,1.1,1.6,57.4
"Copiah County, MS",0.532785,51.1,0.2,0.4,0.0,0.9,2.8,45.3
"Early County, GA",0.53262,49.5,0.5,0.5,0.0,0.8,2.0,47.1
"Franklin city, VA",0.532569,56.4,0.4,0.9,0.0,2.3,2.2,38.5
"Colfax County, NM",0.532294,0.9,2.5,0.4,0.2,2.0,48.4,48.2
"Gila County, AZ",0.532117,0.8,16.2,0.7,0.1,1.6,18.5,63.8
"Fairfield County, CT",0.531964,12.0,0.5,5.3,0.1,1.9,18.2,64.6
"Colleton County, SC",0.531762,38.6,0.8,0.4,0.0,1.5,2.9,56.4
"Iberville Parish, LA",0.531761,48.7,0.2,0.5,0.1,0.8,2.4,48.0
"Chaves County, NM",0.531654,2.6,2.1,0.9,0.2,1.8,54.2,41.6
"Blaine County, MT",0.531525,0.2,48.8,0.2,0.0,2.1,2.1,47.9
"Bennett County, SD",0.531492,0.4,59.7,0.7,0.0,5.2,3.3,32.9
"Chesterfield County, VA",0.531245,23.2,0.6,3.6,0.1,2.5,7.7,63.8
"Nolan County, TX",0.531194,5.3,1.0,0.6,0.0,1.4,35.3,58.4
"McDuffie County, GA",0.531113,40.4,0.4,0.5,0.1,1.4,2.7,55.2
"Hughes County, OK",0.53108,5.7,18.6,0.3,0.0,7.3,4.4,65.1
"Brewster County, TX",0.531015,1.5,1.7,1.0,0.1,1.9,43.5,52.8
DELAWARE,0.530787,22.1,0.7,3.6,0.1,2.4,8.7,64.1
"Monroe County, AL",0.530753,41.3,1.3,0.4,0.0,1.6,1.1,54.6
"Forrest County, MS",0.530621,36.9,0.4,1.0,0.1,1.3,3.4,57.6
"Hall County, GA",0.530604,8.1,0.9,2.1,0.2,1.4,27.2,62.3
"Goliad County, TX",0.530362,5.5,0.9,0.4,0.0,1.2,35.4,58.4
"Marion County, SC",0.530066,56.0,0.8,0.7,0.0,1.2,2.9,39.4
"Lowndes County, MS",0.529928,43.8,0.2,0.7,0.1,1.1,1.8,52.7
"Andrews County, TX",0.529877,2.1,1.5,0.8,0.0,1.4,53.4,42.9
"Lauderdale County, MS",0.529162,42.9,0.3,0.9,0.1,0.9,2.0,53.5
"Martin County, TX",0.529058,2.1,1.1,0.7,0.1,1.1,44.7,52.0
"Harrison County, TX",0.52897,22.4,1.3,0.7,0.1,1.5,12.1,63.7
"Jackson County, OK",0.528564,8.0,2.5,1.5,0.3,3.8,22.2,64.3
"Marengo County, AL",0.52855,51.1,0.2,0.3,0.2,0.8,2.2,45.8
"Candler County, GA",0.52841,24.6,0.2,0.7,0.2,1.2,10.7,63.2
MISSISSIPPI,0.5284,37.4,0.6,1.0,0.1,1.1,2.9,57.5
"Monroe County, AR",0.528269,40.1,0.7,0.6,0.0,1.4,2.0,55.7
"Richmond County, VA",0.528257,30.5,0.4,0.5,0.0,1.7,6.2,61.2
"Claiborne Parish, LA",0.528236,50.7,0.5,0.5,0.0,1.0,1.4,46.3
"Washington County, GA",0.528219,52.6,0.2,0.6,0.0,1.0,2.2,44.1
"Greenwood County, SC",0.528056,32.0,0.5,1.0,0.1,1.2,5.7,60.5
"Colusa County, CA",0.527825,1.2,2.7,1.8,0.6,2.1,57.5,37.4
"Nobles County, MN",0.527814,4.0,1.4,6.5,0.2,1.4,25.3,63.4
"Sequoyah County, OK",0.527747,1.9,21.1,0.6,0.1,9.3,3.7,64.6
"Winston County, MS",0.527666,45.7,1.1,0.3,0.1,0.8,1.1,51.3
NORTH CAROLINA,0.52761,22.0,1.6,2.6,0.1,2.0,8.9,64.4
"Grant County, WA",0.527542,1.8,2.0,1.1,0.2,2.3,39.4,56.2
"San Benito County, CA",0.527412,1.3,3.1,3.4,0.4,3.3,57.9,36.6
"Rosebud County, MT",0.52731,0.3,35.6,0.7,0.0,3.0,4.0,58.6
"Thomas County, GA",0.527184,36.9,0.5,0.8,0.0,1.3,3.4,57.9
"Collingsworth County, TX",0.527085,6.0,2.4,0.5,0.0,1.7,32.0,60.5
"Knox County, TX",0.527048,6.0,1.1,0.2,0.1,2.1,32.8,60.1
"Jefferson County, FL",0.526757,35.6,0.4,0.4,0.0,1.5,4.1,58.7
"Craig County, OK",0.526534,3.2,19.9,0.6,0.2,9.0,3.0,65.1
"Jefferson County, AR",0.526248,55.6,0.4,0.9,0.1,1.3,1.8,40.5
"Edgecombe County, NC",0.52618,57.7,0.6,0.2,0.1,1.1,4.0,37.3
"Benson County, ND",0.526149,0.1,54.0,0.3,0.0,2.1,1.8,42.6
"Prince George's County, MD",0.526125,65.1,1.0,4.5,0.2,2.6,16.2,14.5
"Panola County, MS",0.526081,49.6,0.3,0.3,0.0,1.0,1.6,47.7
"Ouachita County, AR",0.526027,40.1,0.4,0.5,0.0,1.7,1.9,55.9
"Escambia County, AL",0.525935,32.2,3.5,0.3,0.1,1.6,2.1,60.7
"Valencia County, NM",0.525894,1.6,5.4,0.8,0.1,2.2,59.1,34.8
"East Feliciana Parish, LA",0.525809,44.4,0.4,0.5,0.0,1.3,1.3,52.6
"San Patricio County, TX",0.52578,2.1,0.9,1.1,0.1,1.4,55.4,40.8
"Conecuh County, AL",0.525778,46.0,0.4,0.2,0.0,1.3,1.7,51.2
"Spalding County, GA",0.52574,33.3,0.4,1.0,0.1,1.7,4.2,60.1
"Floyd County, TX",0.525607,3.9,1.3,0.3,0.0,0.6,55.7,40.3
"Walthall County, MS",0.525554,43.7,0.4,0.2,0.0,1.2,1.7,53.2
"Kent County, DE",0.525251,25.1,0.7,2.2,0.1,3.3,6.6,63.7
"St. James Parish, LA",0.525213,49.4,0.2,0.3,0.0,0.7,1.7,48.0
"Taliaferro County, GA",0.52487,58.6,0.2,0.8,0.0,1.6,3.3,36.1
"Hertford County, NC",0.524716,59.7,1.8,0.7,0.0,1.3,3.7,34.2
"Clark County, ID",0.524687,0.8,2.2,1.3,0.0,2.4,42.2,54.4
"St. Bernard Parish, LA",0.524634,21.5,0.8,2.3,0.1,2.3,9.7,64.7
"Buena Vista County, IA",0.524584,2.7,0.5,7.7,0.8,1.1,24.8,63.8
"De Soto Parish, LA",0.524418,38.1,1.1,0.2,0.0,1.2,2.6,57.4
"Macon County, GA",0.524324,59.9,0.4,1.6,0.1,0.9,4.0,33.9
"Wilcox County, GA",0.523765,35.7,0.2,0.6,0.0,1.2,4.1,58.9
"McCormick County, SC",0.523422,49.2,0.2,0.3,0.1,1.0,1.2,48.4
"Butler County, AL",0.52337,43.6,0.4,1.0,0.0,0.7,1.2,53.5
"Inyo County, CA",0.523314,0.9,12.7,1.5,0.1,3.1,20.8,64.5
"Bienville Parish, LA",0.523297,42.2,0.3,0.3,0.0,1.4,1.7,54.6
"Morehouse Parish, LA",0.523222,47.8,0.2,0.4,0.1,1.0,1.3,49.8
"Schleicher County, TX",0.523098,1.8,0.6,0.4,0.0,1.7,50.9,46.6
"Saguache County, CO",0.522902,0.8,3.0,1.0,0.0,2.5,38.5,57.2
"Mineral County, NV",0.522881,4.6,16.5,2.4,0.2,4.1,10.6,65.9
"Mississippi County, AR",0.522788,34.5,0.5,0.6,0.0,1.4,3.9,59.7
"Will County, IL",0.522787,11.6,0.4,5.1,0.1,1.7,16.3,65.9
"Rusk County, TX",0.522781,17.6,1.0,0.6,0.1,1.6,15.7,64.9
"Pike County, MS",0.522646,52.4,0.3,0.6,0.0,0.8,1.3,45.0
"Emanuel County, GA",0.522544,34.1,0.4,0.7,0.0,1.0,4.7,59.9
"Lee County, TX",0.522405,11.2,1.1,0.5,0.2,1.4,23.2,64.1
"Screven County, GA",0.522266,42.2,0.4,0.5,0.0,1.2,1.6,54.7
"Wilkinson County, GA",0.522181,38.1,0.4,0.4,0.0,1.5,2.5,57.6
"Ochiltree County, TX",0.522061,0.9,1.5,0.7,0.0,1.2,51.2,46.4
"Otero County, CO",0.52206,1.2,3.4,0.9,0.2,2.7,41.5,55.1
"Whitfield County, GA",0.522024,4.3,1.4,1.5,0.2,1.5,32.9,60.6
"Quitman County, GA",0.522013,47.4,0.3,0.2,0.0,0.8,1.5,50.3
"St. Landry Parish, LA",0.522006,41.3,0.4,0.5,0.0,1.2,1.8,55.4
"Darlington County, SC",0.521992,41.3,0.4,0.5,0.0,1.1,1.9,55.4
"Washoe County, NV",0.521663,2.6,2.1,5.7,0.7,3.2,23.3,64.7
"St. Helena Parish, LA",0.52163,53.0,0.4,0.1,0.0,1.1,1.4,44.4
"Seminole County, OK",0.521448,4.6,18.9,0.3,0.1,7.5,4.6,65.8
"Lake and Peninsula Borough, AK",0.521401,0.8,64.3,0.4,0.3,9.6,3.3,23.4
"Clarke County, AL",0.521338,44.2,0.4,0.5,0.0,0.8,1.3,53.2
"Rio Grande County, CO",0.521253,0.6,3.1,0.5,0.0,2.0,44.2,53.1
"Washington County, TX",0.521163,18.0,0.5,1.7,0.0,1.1,14.9,65.1
"Okeechobee County, FL",0.521031,8.9,1.3,1.0,0.1,1.3,24.7,64.0
"Lyman County, SD",0.521018,0.5,38.2,0.4,0.0,2.9,2.0,57.6
"Hardeman County, TN",0.520993,41.7,0.3,0.7,0.0,1.0,1.6,55.2
"West Feliciana Parish, LA",0.520745,45.9,0.1,0.2,0.0,0.7,1.4,51.8
"Pickens County, AL",0.520742,40.9,0.2,0.3,0.4,1.0,2.2,55.8
"Concho County, TX",0.520625,2.5,0.6,0.4,0.1,1.4,54.5,42.6
"Twiggs County, GA",0.520622,41.6,0.4,0.2,0.0,1.3,1.8,55.3
"Alexander County, IL",0.520524,36.1,0.4,0.5,0.1,2.2,2.3,59.0
"Meriwether County, GA",0.520496,39.1,0.5,0.6,0.0,1.1,2.0,57.1
"Tensas Parish, LA",0.520317,54.8,0.1,0.2,0.0,1.1,1.8,42.3
"Roosevelt County, MT",0.520283,0.2,58.3,0.4,0.0,3.2,2.0,37.2
"Berkeley County, SC",0.520264,25.0,0.7,2.5,0.1,2.6,6.1,64.2
"West Baton Rouge Parish, LA",0.520215,37.9,0.2,0.5,0.1,1.2,2.7,57.9
"Providence County, RI",0.519916,11.1,1.2,4.2,0.2,2.9,20.3,65.1
"Stafford County, VA",0.519308,17.8,0.7,3.1,0.2,3.7,10.5,66.0
"Attala County, MS",0.519001,42.2,0.3,0.3,0.0,0.6,1.9,55.0
"Montgomery County, TN",0.518661,19.4,0.7,2.3,0.4,4.1,9.2,65.8
"Colfax County, NE",0.518483,2.6,3.3,0.9,0.5,1.1,43.1,54.2
"New Haven County, CT",0.51843,14.0,0.5,4.0,0.1,2.2,16.4,65.8
"Austin County, TX",0.51843,9.6,0.8,0.5,0.0,1.4,25.5,63.8
"Brunswick County, VA",0.518314,56.1,0.3,0.3,0.1,1.1,1.9,40.8
"Ellis County, TX",0.518114,9.4,0.8,0.7,0.1,1.6,24.6,64.2
"Lunenburg County, VA",0.518111,34.1,0.4,0.3,0.2,1.7,4.1,60.3
"Montgomery County, MS",0.518066,45.4,0.2,0.3,0.0,0.6,1.2,52.5
"Grant County, KS",0.517834,0.8,2.3,0.5,0.0,1.4,46.6,51.4
"Lynchburg city, VA",0.517655,28.6,0.4,2.9,0.1,2.1,3.3,63.1
"Conejos County, CO",0.517585,0.6,3.5,0.7,0.2,2.2,53.9,43.6
OKLAHOMA,0.517362,7.7,9.0,2.0,0.2,5.8,9.6,67.5
"Newton County, MS",0.517325,30.3,4.9,0.4,0.0,0.8,1.6,62.3
"Ouachita Parish, LA",0.517071,37.1,0.3,1.0,0.0,1.3,2.1,58.7
"Chambers County, AL",0.517068,39.1,0.2,0.7,0.1,1.1,2.0,57.4
"Milam County, TX",0.517065,10.1,1.3,0.6,0.0,1.2,24.8,64.1
"Winkler County, TX",0.51668,2.9,1.9,0.5,0.0,1.0,57.3,39.2
"Laurens County, GA",0.516501,36.2,0.3,1.0,0.0,1.1,2.4,59.3
"Franklin County, NC",0.516495,26.9,0.9,0.6,0.1,1.7,7.9,63.6
"Mecklenburg County, VA",0.516253,35.2,0.3,1.0,0.1,1.6,2.6,59.9
"Baltimore city, MD",0.516013,63.3,0.4,2.6,0.1,2.0,4.6,28.3
"Westmoreland County, VA",0.5155,27.5,0.8,0.8,0.1,2.3,6.1,63.6
"Jasper County, MS",0.514829,52.2,0.2,0.2,0.1,0.6,1.1,46.1
"Grenada County, MS",0.514755,42.2,0.2,0.4,0.0,0.9,1.2,55.4
"Hansford County, TX",0.514744,0.9,1.8,0.4,0.0,0.9,45.5,52.7
"Sussex County, VA",0.514711,57.8,0.4,0.4,0.0,1.0,2.3,38.8
"De Baca County, NM",0.514677,0.3,1.6,0.2,0.0,3.4,40.3,56.7
"Delaware County, OK",0.514641,0.4,23.3,1.2,0.1,7.8,3.2,65.1
"Charleston County, SC",0.514537,29.0,0.4,1.6,0.1,1.5,5.2,63.1
"Columbia County, AR",0.514501,36.3,0.5,0.7,0.0,1.2,2.6,59.4
"Nueces County, TX",0.514446,4.4,0.8,1.9,0.1,1.4,62.0,31.4
"Kinney County, TX",0.514351,2.0,1.0,0.7,0.2,1.4,57.0,40.0
"Rapides Parish, LA",0.514326,32.0,0.9,1.4,0.0,1.7,2.8,61.8
"Lassen County, CA",0.514288,8.5,4.1,1.4,0.6,3.5,18.2,66.5
"Jones County, NC",0.514233,31.5,0.8,0.5,0.0,1.7,4.2,62.0
"Roberts County, SD",0.514087,0.3,35.8,0.3,0.0,3.1,1.9,59.7
"Chesterfield County, SC",0.513794,32.4,0.7,0.5,0.0,1.6,3.8,61.6
"Chester County, SC",0.513695,37.1,0.5,0.5,0.0,1.5,1.7,59.0
"St. Clair County, IL",0.513649,30.4,0.3,1.4,0.1,2.2,3.7,62.6
"Talbot County, GA",0.51354,57.3,0.5,0.2,0.0,1.3,1.8,39.7
"Tulare County, CA",0.512942,2.2,2.8,4.0,0.2,2.4,62.3,30.9
"Fayette County, GA",0.512896,21.4,0.4,4.3,0.1,2.0,6.9,65.9
"Kemper County, MS",0.512829,60.5,3.6,0.2,0.0,0.9,0.7,34.6
"Union County, AR",0.512687,32.6,0.5,0.8,0.0,1.4,3.6,61.6
"Charlottesville city, VA",0.512658,19.3,0.4,6.7,0.1,3.1,4.9,66.5
"Sherman County, TX",0.512615,0.9,1.5,0.5,0.0,1.0,42.3,55.5
"Yuma County, AZ",0.512612,2.7,2.2,1.5,0.2,2.0,61.1,33.5
"Crane County, TX",0.512567,3.6,1.3,0.6,0.1,1.1,60.1,35.3
"Wilson County, TX",0.51243,1.8,0.9,0.5,0.0,1.4,38.8,58.0
"Dawson County, NE",0.512421,4.2,1.9,0.8,0.3,1.2,32.9,61.4
"Taylor County, GA",0.512362,38.2,0.1,0.8,0.0,0.8,2.3,58.4
"Glynn County, GA",0.512312,26.6,0.5,1.5,0.2,1.7,6.5,64.2
"Ottawa County, OK",0.51229,1.1,19.2,0.7,1.1,7.7,4.9,66.5
"Echols County, GA",0.512089,5.3,3.5,0.5,0.2,1.8,29.0,63.2
"Chowan County, NC",0.511982,34.4,0.5,0.6,0.2,1.2,3.2,60.7
"Hidalgo County, NM",0.511588,1.2,1.1,0.7,0.1,1.2,56.7,40.8
"Northampton County, NC",0.510927,58.4,0.6,0.2,0.0,1.1,2.0,38.4
"Harding County, NM",0.510923,0.4,1.4,0.6,0.0,1.3,43.4,54.8
"Sterling County, TX",0.510528,1.4,1.9,0.2,0.1,1.9,37.0,59.3
"Concordia Parish, LA",0.51051,40.4,0.4,0.3,0.0,0.8,1.2,57.1
SOUTH CAROLINA,0.510489,27.9,0.5,1.5,0.1,1.7,5.3,63.9
"Escambia County, FL",0.510463,22.8,0.9,3.0,0.2,3.0,5.2,65.8
"Edwards County, TX",0.510336,0.8,2.1,0.7,0.0,0.5,54.6,43.7
"Fairfield County, SC",0.510092,58.8,0.3,0.3,0.0,1.2,1.9,37.9
"Calhoun County, GA",0.51002,61.4,0.5,0.5,0.3,1.0,4.4,33.3
"Morgan County, CO",0.510019,3.1,1.5,0.6,0.3,1.5,35.0,60.5
"Miami-Dade County, FL",0.510018,19.0,0.3,1.7,0.0,1.2,65.6,15.2
"Lauderdale County, TN",0.509963,35.1,0.7,0.8,0.0,1.3,2.3,60.5
"Swain County, NC",0.509809,1.1,27.9,0.6,0.0,4.4,4.4,63.9
"Alamance County, NC",0.5098,19.3,1.4,1.5,0.1,1.9,11.8,66.2
"Charlton County, GA",0.50976,32.3,0.5,0.6,0.0,1.5,3.5,62.0
"Caroline County, VA",0.509671,28.4,0.8,0.8,0.1,3.0,4.0,63.8
"Gaines County, TX",0.509607,2.1,1.0,0.5,0.0,1.3,38.7,58.3
"Mayes County, OK",0.508904,0.6,21.7,0.4,0.1,9.3,3.2,65.9
"Caswell County, NC",0.50886,33.4,0.6,0.3,0.0,1.5,3.3,61.5
"Dickens County, TX",0.508792,5.7,2.3,1.0,0.1,1.7,29.6,63.2
"Howard County, AR",0.507901,21.2,1.0,0.7,0.1,1.3,10.6,66.0
"Harrison County, MS",0.507704,23.7,0.6,3.0,0.1,2.5,5.4,65.7
"Red River Parish, LA",0.506965,39.4,0.4,0.2,0.0,0.7,1.3,58.1
"Greensville County, VA",0.506892,59.2,0.3,0.5,0.0,0.9,2.0,37.7
"Lake County, CO",0.506823,0.7,2.5,0.6,0.1,2.1,38.4,58.7
"Plaquemines Parish, LA",0.506809,20.2,1.8,3.7,0.1,2.5,6.2,66.8
"Morris County, TX",0.5068,22.8,1.1,0.5,0.1,1.9,8.8,65.8
"Dorchester County, SC",0.506692,26.0,0.7,1.8,0.1,2.5,4.7,65.0
"Taylor County, TX",0.506541,7.8,1.0,1.8,0.1,2.5,23.1,65.8
"Terrell County, GA",0.506501,60.2,0.5,0.5,0.2,1.2,2.4,36.1
"Bowie County, TX",0.506452,24.5,1.0,0.9,0.1,2.1,7.2,65.4
"Wicomico County, MD",0.506295,24.9,0.4,2.9,0.1,2.3,5.1,65.4
"Halifax County, VA",0.506259,36.5,0.3,0.5,0.0,1.1,1.9,60.0
"Choctaw County, AL",0.50622,42.7,0.2,0.3,0.0,0.5,0.7,55.8
"Buckingham County, VA",0.506041,34.8,0.3,0.4,0.0,1.7,2.1,61.0
"Washington County, AL",0.50599,24.5,7.7,0.1,0.1,1.3,1.3,65.4
